order_id,order_date,month,month_num,region,customer_lat,customer_lon,product_category,demand_units,weight_kg,order_value_usd,shipping_mode,dist_wh1_km,cost_wh1_usd,lead_wh1_days,service_met_wh1,dist_wh2_atlanta_km,dist_wh3_la_km,dist_wh4_dallas_km,wh_assigned_s1,dist_s1_km,cost_s1_usd,lead_s1_days,service_met_s1,wh_assigned_s2,dist_s2_km,cost_s2_usd,lead_s2_days,service_met_s2
ORD-10029,2025-01-01 12:00:00,Jan,1,Southeast,36.3584,-82.9415,Electronics,2,26.96,1092.78,Standard Ground,734.8,23.28,2.2,0,318.6,3199.9,1328.3,WH1_CHICAGO,734.8,25.2,2.5,0,WH2_ATLANTA,318.6,18.69,1.5,1
ORD-10030,2025-01-01 12:00:00,Jan,1,Midwest,41.5619,-92.5152,Electronics,4,20.76,880.09,Express Air,406.9,39.9,1.8,1,1124.3,2398.6,1047.6,WH1_CHICAGO,406.9,39.86,2.0,1,WH1_CHICAGO,406.9,37.9,2.5,0
ORD-10031,2025-01-01 13:00:00,Jan,1,Southeast,36.037,-80.618,Apparel,2,21.64,862.46,Economy Saver,887.9,18.49,2.4,0,427.7,3411.1,1525.9,WH1_CHICAGO,887.9,16.34,3.2,0,WH2_ATLANTA,427.7,15.38,1.8,1
ORD-10032,2025-01-01 13:00:00,Jan,1,Midwest,42.6139,-90.4391,Home & Kitchen,1,2.9,125.33,Economy Saver,245.3,6.04,1.2,1,1117.9,2590.7,1227.7,WH1_CHICAGO,245.3,5.48,1.5,1,WH1_CHICAGO,245.3,6.64,1.5,1
ORD-10033,2025-01-01 13:00:00,Jan,1,Midwest,39.9527,-87.3292,Home & Kitchen,5,49.06,1768.08,Standard Ground,215.6,29.38,1.0,1,737.7,2807.4,1162.9,WH1_CHICAGO,215.6,28.99,1.3,1,WH1_CHICAGO,215.6,28.75,1.6,1
ORD-10034,2025-01-01 13:00:00,Jan,1,Northwest,44.9583,-121.1302,Home & Kitchen,1,6.38,295.52,Economy Saver,2707.8,31.88,7.0,0,3361.1,1237.5,2489.4,WH3_LOS_ANGELES,1237.5,16.5,3.5,0,WH1_CHICAGO,2707.8,29.38,7.0,0
ORD-10035,2025-01-01 14:00:00,Jan,1,Northwest,42.7586,-122.9751,Electronics,5,63.79,2549.13,Standard Ground,2886.3,68.33,7.0,0,3481.5,1051.8,2540.5,WH3_LOS_ANGELES,1051.8,45.76,3.5,0,WH1_CHICAGO,2886.3,69.05,6.9,0
ORD-10036,2025-01-01 14:00:00,Jan,1,Southwest,35.5935,-95.6815,Grocery,4,22.08,953.78,Economy Saver,987.1,16.15,3.2,0,1052.3,2062.1,329.6,WH1_CHICAGO,987.1,19.55,3.1,0,WH1_CHICAGO,987.1,20.56,3.5,0
ORD-10037,2025-01-01 15:00:00,Jan,1,Northeast,41.0002,-69.0369,Electronics,5,64.5,2799.8,Standard Ground,1549.9,50.63,5.8,0,1574.6,4349.3,2619.1,WH1_CHICAGO,1549.9,52.55,4.8,0,WH1_CHICAGO,1549.9,49.69,4.5,0
ORD-10038,2025-01-01 16:00:00,Jan,1,Midwest,36.8281,-90.4459,Grocery,2,14.26,509.53,Standard Ground,611.4,19.44,2.5,0,647.5,2528.1,734.0,WH1_CHICAGO,611.4,19.35,2.2,0,WH1_CHICAGO,611.4,19.55,1.9,1
ORD-10039,2025-01-01 17:00:00,Jan,1,West Coast,35.4971,-117.7833,Beauty,3,40.48,892.47,Economy Saver,2696.2,38.93,6.6,0,3047.4,166.1,1951.2,WH3_LOS_ANGELES,166.1,20.26,1.0,1,WH1_CHICAGO,2696.2,40.45,6.4,0
ORD-10040,2025-01-01 17:00:00,Jan,1,Southeast,35.7264,-85.098,Apparel,5,74.94,1767.38,Economy Saver,718.3,34.01,2.2,0,229.3,3014.6,1123.3,WH1_CHICAGO,718.3,34.49,2.6,0,WH2_ATLANTA,229.3,30.26,1.4,1
ORD-10041,2025-01-01 17:00:00,Jan,1,Midwest,43.4959,-89.2099,Apparel,4,58.86,2590.72,Express Air,221.4,71.79,1.0,1,1161.4,2709.5,1362.7,WH1_CHICAGO,221.4,73.15,1.0,1,WH1_CHICAGO,221.4,69.69,1.8,1
ORD-10042,2025-01-01 17:00:00,Jan,1,Southeast,36.4656,-85.5979,Grocery,3,20.63,772.95,Express Air,626.8,44.01,2.7,0,321.5,2962.1,1102.9,WH1_CHICAGO,626.8,42.6,2.5,0,WH2_ATLANTA,321.5,38.46,1.9,1
ORD-10043,2025-01-01 17:00:00,Jan,1,Midwest,41.2534,-89.4705,Footwear,4,58.03,1421.42,Standard Ground,168.2,33.3,1.3,1,946.8,2642.6,1144.2,WH1_CHICAGO,168.2,31.33,1.5,1,WH1_CHICAGO,168.2,33.41,1.4,1
ORD-10044,2025-01-01 18:00:00,Jan,1,Southwest,34.1121,-98.5683,Electronics,2,25.63,1094.34,Economy Saver,1288.2,23.5,3.7,0,1307.9,1809.2,221.5,WH1_CHICAGO,1288.2,25.08,3.8,0,WH1_CHICAGO,1288.2,23.89,3.6,0
ORD-10045,2025-01-01 18:00:00,Jan,1,Northeast,40.6236,-72.733,Beauty,4,2.72,151.92,Standard Ground,1251.6,23.45,3.8,0,1282.8,4043.5,2306.6,WH1_CHICAGO,1251.6,20.05,3.4,0,WH1_CHICAGO,1251.6,21.05,3.6,0
ORD-10046,2025-01-01 19:00:00,Jan,1,West Coast,37.8631,-117.7261,Electronics,2,10.45,431.11,Standard Ground,2593.2,41.76,6.8,0,3024.7,426.3,1976.4,WH3_LOS_ANGELES,426.3,13.42,1.7,1,WH1_CHICAGO,2593.2,41.83,6.7,0
ORD-10047,2025-01-01 20:00:00,Jan,1,Northeast,41.08,-75.0456,Electronics,3,5.4,121.18,Standard Ground,1051.1,17.94,3.8,0,1158.5,3846.3,2134.6,WH1_CHICAGO,1051.1,19.19,2.6,0,WH1_CHICAGO,1051.1,19.59,3.3,0
ORD-10048,2025-01-01 20:00:00,Jan,1,Southeast,33.0307,-82.423,Apparel,3,7.33,161.0,Standard Ground,1085.3,21.17,3.7,0,199.2,3304.8,1341.2,WH1_CHICAGO,1085.3,20.44,3.1,0,WH2_ATLANTA,199.2,10.55,1.4,1
ORD-10049,2025-01-01 20:00:00,Jan,1,Southeast,34.3491,-82.9415,Electronics,3,41.12,903.12,Standard Ground,931.9,32.95,3.5,0,149.0,3230.1,1294.6,WH1_CHICAGO,931.9,33.35,3.0,0,WH2_ATLANTA,149.0,26.02,1.3,1
ORD-10050,2025-01-01 20:00:00,Jan,1,Midwest,41.5384,-92.5518,Grocery,4,19.48,845.05,Standard Ground,410.3,14.33,2.0,1,1124.4,2395.1,1044.0,WH1_CHICAGO,410.3,17.84,1.5,1,WH1_CHICAGO,410.3,20.64,2.5,0
ORD-10051,2025-01-01 21:00:00,Jan,1,Northwest,47.001,-121.6378,Apparel,3,26.77,712.76,Standard Ground,2736.7,49.03,7.0,0,3440.5,1467.8,2625.4,WH3_LOS_ANGELES,1467.8,33.36,4.0,0,WH1_CHICAGO,2736.7,52.66,7.0,0
ORD-10052,2025-01-01 21:00:00,Jan,1,West Coast,39.0047,-119.4997,Apparel,1,7.15,325.28,Standard Ground,2700.3,40.29,6.8,0,3177.0,562.0,2152.3,WH3_LOS_ANGELES,562.0,13.58,2.2,0,WH1_CHICAGO,2700.3,41.44,6.7,0
ORD-10053,2025-01-01 21:00:00,Jan,1,Northwest,43.3924,-122.7169,Apparel,4,55.44,2363.65,Standard Ground,2854.0,63.75,6.7,0,3465.9,1108.3,2542.4,WH3_LOS_ANGELES,1108.3,44.04,3.2,0,WH1_CHICAGO,2854.0,62.68,7.0,0
ORD-10054,2025-01-01 22:00:00,Jan,1,Southwest,31.6001,-94.7713,Apparel,4,15.62,284.23,Express Air,1306.9,57.22,4.5,0,1000.3,2205.2,231.2,WH1_CHICAGO,1306.9,57.33,3.7,0,WH2_ATLANTA,1000.3,47.88,3.6,0
ORD-10055,2025-01-01 22:00:00,Jan,1,Southeast,29.2454,-82.3765,Electronics,2,13.81,614.28,Express Air,1482.1,58.52,4.4,0,535.8,3419.3,1427.9,WH1_CHICAGO,1482.1,61.0,4.3,0,WH2_ATLANTA,535.8,33.2,2.2,0
ORD-10056,2025-01-01 22:00:00,Jan,1,Northwest,46.7705,-123.323,Home & Kitchen,5,8.69,310.33,Standard Ground,2865.3,41.24,7.0,0,3561.5,1477.3,2728.3,WH3_LOS_ANGELES,1477.3,24.62,4.3,0,WH1_CHICAGO,2865.3,42.72,7.0,0
ORD-10057,2025-01-02 00:00:00,Jan,1,Midwest,41.6493,-89.8811,Apparel,3,28.89,994.17,Standard Ground,188.4,18.04,1.0,1,1002.1,2615.6,1160.3,WH1_CHICAGO,188.4,19.69,1.2,1,WH1_CHICAGO,188.4,20.33,1.3,1
ORD-10058,2025-01-02 01:00:00,Jan,1,Midwest,40.0409,-89.2253,Apparel,2,26.7,701.72,Standard Ground,244.3,19.46,1.1,1,821.0,2647.2,1053.4,WH1_CHICAGO,244.3,20.19,1.7,1,WH1_CHICAGO,244.3,18.1,1.0,1
ORD-10059,2025-01-02 01:00:00,Jan,1,Midwest,40.0786,-85.9491,Apparel,4,19.73,390.46,Express Air,244.8,33.16,1.6,1,717.3,2925.5,1263.7,WH1_CHICAGO,244.8,33.71,1.6,1,WH1_CHICAGO,244.8,35.6,2.1,0
ORD-10060,2025-01-02 02:00:00,Jan,1,Northeast,39.3771,-76.2573,Apparel,3,36.01,1339.79,Standard Ground,998.4,31.82,3.2,0,957.9,3754.9,1980.8,WH1_CHICAGO,998.4,34.25,3.1,0,WH2_ATLANTA,957.9,32.48,2.7,0
ORD-10061,2025-01-02 03:00:00,Jan,1,Northeast,43.8823,-71.5981,Grocery,3,7.37,199.05,Economy Saver,1323.0,18.32,4.1,0,1576.7,4119.8,2506.5,WH1_CHICAGO,1323.0,18.94,3.9,0,WH1_CHICAGO,1323.0,16.76,4.1,0
ORD-10062,2025-01-02 03:00:00,Jan,1,Northeast,37.3493,-75.9119,Home & Kitchen,5,36.35,1074.18,Express Air,1121.6,74.3,3.0,0,864.5,3808.2,1963.1,WH1_CHICAGO,1121.6,71.83,3.3,0,WH2_ATLANTA,864.5,68.1,3.0,0
ORD-10063,2025-01-02 04:00:00,Jan,1,Southwest,32.4849,-96.0287,Home & Kitchen,5,22.62,533.56,Standard Ground,1280.9,30.74,4.5,0,1092.6,2068.6,78.9,WH1_CHICAGO,1280.9,28.5,3.8,0,WH2_ATLANTA,1092.6,27.8,3.1,0
ORD-10064,2025-01-02 04:00:00,Jan,1,Northeast,38.0171,-71.1036,Beauty,2,20.38,643.76,Standard Ground,1470.0,29.43,3.6,0,1286.0,4216.5,2392.3,WH1_CHICAGO,1470.0,33.26,4.2,0,WH2_ATLANTA,1286.0,27.75,3.8,0
ORD-10065,2025-01-02 04:00:00,Jan,1,Northeast,42.1854,-72.7952,Apparel,4,41.97,1165.9,Standard Ground,1224.2,39.95,3.6,0,1380.6,4027.9,2351.1,WH1_CHICAGO,1224.2,37.94,3.6,0,WH1_CHICAGO,1224.2,37.15,4.0,0
ORD-10066,2025-01-02 05:00:00,Jan,1,Southeast,36.7848,-81.1431,Beauty,4,25.65,870.67,Express Air,794.5,54.07,2.9,0,448.0,3354.7,1495.4,WH1_CHICAGO,794.5,54.98,2.8,0,WH2_ATLANTA,448.0,44.03,1.8,1
ORD-10067,2025-01-02 05:00:00,Jan,1,Midwest,42.3972,-83.327,Electronics,5,26.73,907.62,Express Air,359.4,44.49,1.7,1,966.1,3163.0,1594.2,WH1_CHICAGO,359.4,43.41,1.2,1,WH1_CHICAGO,359.4,42.48,1.3,1
ORD-10068,2025-01-02 05:00:00,Jan,1,Southwest,34.2024,-99.5245,Beauty,1,11.76,349.44,Standard Ground,1344.4,24.86,3.7,0,1395.4,1720.7,298.5,WH1_CHICAGO,1344.4,24.81,4.1,0,WH1_CHICAGO,1344.4,25.66,4.3,0
ORD-10069,2025-01-02 06:00:00,Jan,1,Midwest,42.7664,-89.9928,Electronics,4,33.48,1213.53,Economy Saver,217.9,15.9,1.2,1,1115.1,2629.9,1260.5,WH1_CHICAGO,217.9,16.74,1.8,1,WH1_CHICAGO,217.9,19.38,1.6,1
ORD-10070,2025-01-02 06:00:00,Jan,1,Northwest,46.7562,-121.0468,Beauty,3,25.23,836.41,Standard Ground,2692.0,47.43,6.6,0,3391.0,1432.2,2572.9,WH3_LOS_ANGELES,1432.2,33.26,3.8,0,WH1_CHICAGO,2692.0,49.15,6.8,0
ORD-10071,2025-01-02 06:00:00,Jan,1,West Coast,33.0413,-119.7437,Apparel,5,59.72,1358.36,Standard Ground,2979.4,65.29,7.0,0,3267.0,178.8,2138.0,WH3_LOS_ANGELES,178.8,34.09,1.2,1,WH1_CHICAGO,2979.4,69.16,7.0,0
ORD-10072,2025-01-02 06:00:00,Jan,1,Midwest,42.0305,-89.3089,Electronics,2,19.01,405.73,Express Air,139.9,32.25,1.4,1,1016.6,2669.4,1222.1,WH1_CHICAGO,139.9,30.49,1.6,1,WH1_CHICAGO,139.9,31.49,1.2,1
ORD-10073,2025-01-02 06:00:00,Jan,1,Midwest,42.1294,-85.5823,Home & Kitchen,2,5.32,157.63,Express Air,171.5,17.72,1.2,1,937.7,2975.3,1433.3,WH1_CHICAGO,171.5,18.32,1.1,1,WH1_CHICAGO,171.5,18.58,1.2,1
ORD-10074,2025-01-02 06:00:00,Jan,1,Southwest,31.9388,-96.3262,Beauty,4,8.27,398.91,Standard Ground,1347.2,25.55,4.3,0,1132.6,2053.5,103.1,WH1_CHICAGO,1347.2,24.33,4.2,0,WH2_ATLANTA,1132.6,22.01,3.9,0
ORD-10075,2025-01-02 07:00:00,Jan,1,West Coast,39.9586,-118.5536,Electronics,1,4.24,155.67,Standard Ground,2593.0,35.87,7.0,0,3097.2,657.3,2098.4,WH3_LOS_ANGELES,657.3,17.41,2.4,0,WH1_CHICAGO,2593.0,37.85,6.5,0
ORD-10076,2025-01-02 07:00:00,Jan,1,West Coast,37.0021,-121.4162,Footwear,1,5.83,254.4,Standard Ground,2932.0,42.54,7.0,0,3355.5,435.8,2287.3,WH3_LOS_ANGELES,435.8,13.22,1.9,1,WH1_CHICAGO,2932.0,41.72,7.0,0
ORD-10077,2025-01-02 07:00:00,Jan,1,West Coast,38.1776,-118.8397,Electronics,2,8.82,340.47,Standard Ground,2674.0,40.25,6.3,0,3121.3,461.8,2078.6,WH3_LOS_ANGELES,461.8,13.41,2.5,0,WH1_CHICAGO,2674.0,42.02,6.9,0
ORD-10078,2025-01-02 08:00:00,Jan,1,Midwest,44.0675,-87.8594,Apparel,1,3.94,218.0,Economy Saver,244.2,7.1,1.1,1,1185.7,2829.4,1475.2,WH1_CHICAGO,244.2,5.75,1.9,1,WH1_CHICAGO,244.2,4.89,1.1,1
ORD-10079,2025-01-02 08:00:00,Jan,1,Northeast,37.4307,-78.2503,Beauty,2,2.76,76.29,Standard Ground,942.2,18.23,2.9,0,689.4,3602.0,1761.3,WH1_CHICAGO,942.2,16.92,2.8,0,WH2_ATLANTA,689.4,13.76,3.0,0
ORD-10080,2025-01-02 09:00:00,Jan,1,Midwest,42.9714,-89.7106,Electronics,3,23.94,906.5,Standard Ground,209.6,17.7,2.1,0,1125.0,2657.2,1291.8,WH1_CHICAGO,209.6,18.44,1.7,1,WH1_CHICAGO,209.6,17.48,1.6,1
ORD-10081,2025-01-02 09:00:00,Jan,1,Southwest,32.8735,-96.6573,Footwear,3,2.4,118.17,Standard Ground,1278.6,21.66,3.6,0,1143.6,2003.0,16.9,WH1_CHICAGO,1278.6,21.75,3.9,0,WH2_ATLANTA,1143.6,19.76,3.8,0
ORD-10082,2025-01-02 09:00:00,Jan,1,West Coast,36.0829,-119.6927,Home & Kitchen,1,7.99,356.04,Standard Ground,2827.8,38.8,7.0,0,3211.9,261.5,2126.7,WH3_LOS_ANGELES,261.5,11.96,1.3,1,WH1_CHICAGO,2827.8,40.32,7.0,0
ORD-10083,2025-01-02 09:00:00,Jan,1,Northeast,39.1423,-74.0394,Beauty,4,9.95,345.62,Express Air,1187.1,49.67,3.6,0,1101.8,3947.5,2160.1,WH1_CHICAGO,1187.1,48.97,4.1,0,WH2_ATLANTA,1101.8,46.52,3.5,0
ORD-10084,2025-01-02 10:00:00,Jan,1,Midwest,40.331,-89.1168,Electronics,4,52.71,1017.19,Standard Ground,212.4,32.1,1.6,1,843.4,2659.5,1083.6,WH1_CHICAGO,212.4,30.32,1.0,1,WH1_CHICAGO,212.4,29.73,1.1,1
ORD-10085,2025-01-02 10:00:00,Jan,1,Northeast,40.1174,-74.5667,Grocery,4,24.8,443.96,Standard Ground,1112.5,27.05,2.9,0,1122.8,3892.9,2142.0,WH1_CHICAGO,1112.5,29.3,3.5,0,WH1_CHICAGO,1112.5,29.41,4.1,0
ORD-10086,2025-01-02 11:00:00,Jan,1,Northeast,42.3599,-74.3245,Home & Kitchen,5,58.59,1071.03,Standard Ground,1097.6,43.14,3.6,0,1299.3,3901.5,2239.2,WH1_CHICAGO,1097.6,44.5,3.3,0,WH1_CHICAGO,1097.6,44.03,3.0,0
ORD-10087,2025-01-02 13:00:00,Jan,1,West Coast,39.0593,-116.4243,Beauty,3,12.29,280.36,Express Air,2444.3,83.52,6.7,0,2911.5,580.0,1895.6,WH3_LOS_ANGELES,580.0,34.64,2.9,0,WH1_CHICAGO,2444.3,81.39,5.7,0
ORD-10088,2025-01-02 13:00:00,Jan,1,West Coast,38.6374,-118.4311,Electronics,5,74.37,1292.93,Economy Saver,2624.1,50.48,7.0,0,3084.8,510.1,2053.4,WH3_LOS_ANGELES,510.1,32.17,1.9,1,WH1_CHICAGO,2624.1,52.57,6.9,0
ORD-10089,2025-01-02 13:00:00,Jan,1,Southwest,32.6537,-94.4039,Home & Kitchen,5,35.5,915.06,Economy Saver,1187.1,24.56,4.0,0,939.4,2214.7,224.3,WH1_CHICAGO,1187.1,27.43,3.4,0,WH2_ATLANTA,939.4,23.0,2.8,0
ORD-10090,2025-01-02 14:00:00,Jan,1,Southeast,33.9966,-79.5463,Beauty,4,41.79,1541.42,Standard Ground,1126.1,38.19,3.5,0,447.8,3544.4,1605.5,WH1_CHICAGO,1126.1,35.48,3.7,0,WH2_ATLANTA,447.8,29.16,1.5,1
ORD-10091,2025-01-02 14:00:00,Jan,1,Midwest,42.7282,-89.0795,Home & Kitchen,5,68.29,2341.08,Standard Ground,152.1,37.12,1.0,1,1078.8,2702.1,1296.7,WH1_CHICAGO,152.1,38.17,1.6,1,WH1_CHICAGO,152.1,36.31,1.0,1
ORD-10092,2025-01-02 14:00:00,Jan,1,West Coast,38.7396,-119.317,Grocery,4,19.04,757.06,Economy Saver,2693.9,36.08,6.6,0,3161.5,530.0,2131.0,WH3_LOS_ANGELES,530.0,14.56,2.4,0,WH1_CHICAGO,2693.9,34.77,6.8,0
ORD-10093,2025-01-02 14:00:00,Jan,1,West Coast,36.2347,-120.4524,Footwear,4,25.15,708.86,Economy Saver,2884.1,38.24,7.0,0,3278.0,315.0,2195.7,WH3_LOS_ANGELES,315.0,13.62,1.9,1,WH1_CHICAGO,2884.1,37.17,7.0,0
